CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-8533-46,01-403,CIUDAD CAPITAL,ZONA 1,LICEO MONTE CARLO,4A. AVENIDA 2-28,45336574,CARLOS HUMBERTO GONZALEZ DE LEON,LUCY ESTELA CASTELLANOS MONZÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-9179-46,01-312,CIUDAD CAPITAL,ZONA 1,LICEO EN COMPUTACION 'DE LA ROCA',9A. CALLE 3-19,22537837,AMADO SALOMON FLORES PEREZ,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-9258-46,01-403,CIUDAD CAPITAL,ZONA 1,CENTRO TECNOLOGICO DE COMPUTACION LA MERCED,5A. CALLE 10-22,22325857,CARLOS HUMBERTO GONZALEZ DE LEON,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
00-01-9466-46,01-312,CIUDAD CAPITAL,ZONA 1,COLEGIO ANGLO GUATEMALTECO,6A. CALLE 0-27,22921172,AMADO SALOMON FLORES PEREZ,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-9478-46,01-402,CIUDAD CAPITAL,ZONA 1,INSTITUTO DE DIBUJO Y PUBLICIDAD,14 CALLE 10-15,Sin especificar,CARLOS HUMBERTO GONZALEZ DE LEON,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-9639-46,01-312,CIUDAD CAPITAL,ZONA 1,CENTRO DE ESTUDIOS PREUNIVERSITARIOS 'DR. BUCHNER',3A. AVENIDA 14-56 ZONA 1,Sin especificar,AMADO SALOMON FLORES PEREZ,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-01-9798-46,99-001,CIUDAD CAPITAL,ZONA 1,INSTITUTO GUATEMALA (GUATEMALA INSTITUTE),"11 CALLE 2-52, ZONA 1",22067425,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-0005-46,01-301,CIUDAD CAPITAL,ZONA 2,COLEGIO MIXTO PRIVADO EL DEBER,"AVENIDA SIMEON CAÑAS, 06-11",22541365,ERICK ESTUARDO SANCHEZ ARCHILA,Sin especificar,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-0014-46,01-301,CIUDAD CAPITAL,ZONA 2,"CENTRO EDUCATIVO ROTARIO ""BENITO JUAREZ""",4A. CALLE 8-80,22549485,ERICK ESTUARDO SANCHEZ ARCHILA,MAYRA LISSETTE SIERRA MORALES DE SANDOVAL,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
00-02-0106-46,01-301,CIUDAD CAPITAL,ZONA 2,CENTRO EDUCATIVO ESPERANZA JUVENIL,"12 AVENIDA 16-32, CIUDAD NUEVA",22549911,ERICK ESTUARDO SANCHEZ ARCHILA,MAYRA ELIZABETH LOPEZ DE LEON DE CRUZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
